,Product ID,Product Position,Promotion,Product Category,Seasonal,Sales Volume,name,price,currency,terms,section,season,material,origin
0,185102,Aisle,Yes,clothing,Yes,1243,BASIC PUFFER JACKET,78.99,USD,jackets,MAN,Winter,Polyester,Brazil
1,188771,Aisle,Yes,clothing,No,1429,TUXEDO JACKET,14.99,USD,jackets,MAN,Autumn,Cotton,Turkey
2,180176,End-cap,Yes,clothing,Yes,1168,SLIM FIT SUIT JACKET,71.95,USD,jackets,WOMAN,Autumn,Polyester,Morocco
3,112917,Aisle,Yes,clothing,No,1348,STRETCH SUIT JACKET,30.99,USD,jackets,MAN,Spring,Polyester,China
4,192936,End-cap,Yes,clothing,Yes,1602,DOUBLE FACED JACKET,22.99,USD,jackets,WOMAN,Winter,Wool Blend,China
5,117590,End-cap,Yes,clothing,Yes,1282,CONTRASTING COLLAR JACKET,25.95,USD,jackets,WOMAN,Autumn,Cotton,Turkey
6,189118,Front of Store,No,clothing,No,688,FAUX LEATHER PUFFER JACKET,87.99,USD,jackets,MAN,Winter,Acrylic,China
7,182157,Aisle,Yes,clothing,Yes,1711,SUIT JACKET IN 100% LINEN,24.0,USD,jackets,WOMAN,Summer,Cotton,Portugal
8,141861,Aisle,No,clothing,Yes,857,100% WOOL SUIT JACKET,32.95,USD,jackets,WOMAN,Winter,Wool,India
9,137121,Aisle,No,clothing,No,769,100% FEATHER FILL PUFFER JACKET,39.95,USD,jackets,MAN,Autumn,Wool Blend,China
10,113143,Aisle,Yes,clothing,Yes,1696,HERRINGBONE TEXTURED JACKET,22.99,USD,jackets,WOMAN,Winter,Wool,China
11,140028,Aisle,Yes,clothing,No,1538,OVERSIZED CROPPED JACKET LIMITED EDITION,15.95,USD,jackets,WOMAN,Autumn,Polyester,Portugal
12,134693,Aisle,No,clothing,Yes,822,LEATHER BIKER JACKET,49.99,USD,jackets,MAN,Autumn,Cotton,Portugal
13,151396,Front of Store,No,clothing,No,840,CROPPED LEATHER JACKET,69.99,USD,jackets,WOMAN,Autumn,Viscose,Bangladesh
14,132889,Aisle,Yes,clothing,Yes,1569,FAUX LEATHER BOXY FIT JACKET,28.99,USD,jackets,WOMAN,Spring,Polyester,China
15,152174,End-cap,No,clothing,Yes,952,FAUX LEATHER JACKET,29.99,USD,jackets,WOMAN,Spring,Wool Blend,India
16,129906,Aisle,No,clothing,Yes,915,FAUX SUEDE BOMBER JACKET,29.99,USD,jackets,WOMAN,Autumn,Cotton,Portugal
17,195879,Front of Store,Yes,clothing,Yes,1522,DENIM BOMBER JACKET,25.99,USD,jackets,WOMAN,Autumn,Cotton,India
18,155050,Aisle,Yes,clothing,Yes,1305,BOUCLÉ TEXTURED JACKET,77.99,USD,jackets,MAN,Winter,Polyester,Morocco
19,194410,End-cap,No,clothing,No,840,SUIT JACKET IN 100% LINEN,49.99,USD,jackets,WOMAN,Spring,Linen,Bangladesh
20,141904,End-cap,No,clothing,No,997,JACQUARD DENIM JACKET,25.95,USD,jackets,WOMAN,Spring,Denim,China
21,124981,Front of Store,No,clothing,Yes,857,PADDED DENIM JACKET,79.99,USD,jackets,WOMAN,Autumn,Denim,Bangladesh
22,161909,Aisle,No,clothing,No,982,LEATHER JACKET,39.99,USD,jackets,WOMAN,Spring,Wool Blend,Vietnam
23,129152,End-cap,No,clothing,Yes,970,LIGHTWEIGHT BOMBER JACKET,19.95,USD,jackets,MAN,Autumn,Wool Blend,Spain
24,183243,Front of Store,Yes,clothing,No,1453,SUIT JACKET,39.99,USD,jackets,WOMAN,Autumn,Polyester,Brazil
25,198248,Front of Store,No,clothing,No,870,FAUX LEATHER BOMBER JACKET,22.99,USD,jackets,MAN,Autumn,Polyester,India
26,191230,End-cap,Yes,clothing,No,1533,PATCH BOMBER JACKET,21.99,USD,jackets,WOMAN,Autumn,Cotton,Cambodia
27,187234,Front of Store,No,clothing,Yes,807,STRETCH POCKET OVERSHIRT,49.99,USD,jackets,WOMAN,Spring,Cotton,India
28,148888,Front of Store,Yes,clothing,Yes,1604,RIB COLLAR JACKET,24.95,USD,jackets,WOMAN,Autumn,Wool Blend,Bangladesh
29,110805,Front of Store,Yes,clothing,Yes,1255,FAUX LEATHER OVERSIZED JACKET LIMITED EDITION,21.99,USD,jackets,MAN,Autumn,Viscose,China
30,179801,Front of Store,Yes,clothing,Yes,1268,CONTRASTING PATCHES BOMBER JACKET,22.99,USD,jackets,MAN,Autumn,Cotton,China
31,134927,Aisle,No,clothing,Yes,1047,PATCH BOMBER JACKET,24.0,USD,jackets,WOMAN,Winter,Viscose,Bangladesh
32,123150,End-cap,No,clothing,Yes,744,CROPPED BOMBER JACKET LIMITED EDITION,49.99,USD,jackets,MAN,Autumn,Polyester,Spain
33,159145,End-cap,Yes,clothing,Yes,1744,FAUX LEATHER PUFFER JACKET,32.99,USD,jackets,WOMAN,Winter,Wool,Turkey
34,172364,Aisle,Yes,clothing,Yes,1447,FAUX LEATHER BOMBER JACKET,31.99,USD,jackets,WOMAN,Autumn,Viscose,India
35,178281,End-cap,No,clothing,No,911,BOMBER JACKET,39.99,USD,jackets,WOMAN,Spring,Polyester,Vietnam
36,194339,End-cap,Yes,clothing,No,1575,FAUX SUEDE JACKET,16.99,USD,jackets,WOMAN,Autumn,Viscose,Cambodia
37,174412,Aisle,Yes,clothing,No,1440,FAUX SUEDE BOMBER JACKET,16.99,USD,jackets,WOMAN,Spring,Viscose,Spain
38,114877,Aisle,No,clothing,Yes,942,SUEDE JACKET,39.99,USD,jackets,WOMAN,Spring,Polyester,Vietnam
39,140727,End-cap,No,clothing,No,972,CONTRASTING COLLAR JACKET,21.99,USD,jackets,WOMAN,Winter,Viscose,Bangladesh
40,133109,Front of Store,No,clothing,Yes,860,TEXTURED JACKET,45.99,USD,jackets,WOMAN,Spring,Cotton,Bangladesh
41,127296,Aisle,No,clothing,No,709,CROPPED TEXTURED JACKET,45.99,USD,jackets,MAN,Spring,Cotton,China
42,133757,Aisle,No,clothing,Yes,663,POCKET PUFFER JACKET,99.99,USD,jackets,WOMAN,Autumn,Wool,Spain
43,111760,End-cap,No,clothing,No,876,TECHNICAL JACKET WITH POCKETS,22.99,USD,jackets,MAN,Spring,Wool Blend,Argentina
44,198375,End-cap,Yes,clothing,Yes,1284,FAUX LEATHER JACKET,19.99,USD,jackets,WOMAN,Spring,Polyester,Turkey
45,168837,Aisle,No,clothing,No,871,FAUX SUEDE JACKET,22.99,USD,jackets,MAN,Autumn,Polyester,Argentina
46,138505,Front of Store,Yes,clothing,Yes,1330,RIPPED DENIM JACKET,43.95,USD,jackets,WOMAN,Autumn,Cotton,Morocco
47,116228,End-cap,No,clothing,No,880,TEXTURED POCKET JACKET,74.99,USD,jackets,WOMAN,Winter,Polyester,India
48,167592,Front of Store,No,clothing,No,815,FAUX SUEDE PATCH JACKET,49.99,USD,jackets,WOMAN,Autumn,Viscose,Argentina
49,133100,End-cap,No,clothing,Yes,851,PUFFER JACKET WITH POUCH POCKET,39.95,USD,jackets,MAN,Autumn,Wool,India
50,119955,Front of Store,No,clothing,No,749,BOMBER JACKET,59.99,USD,jackets,MAN,Autumn,Polyester,Morocco
51,189349,End-cap,Yes,clothing,No,1211,TEXTURED WEAVE OVERSHIRT,86.99,USD,jackets,WOMAN,Spring,Cotton,Bangladesh
52,127478,Front of Store,No,clothing,Yes,899,STRAIGHT SUIT JACKET,22.95,USD,jackets,WOMAN,Spring,Cotton,Cambodia
53,180661,Front of Store,No,clothing,No,908,HOODED QUILTED JACKET,17.95,USD,jackets,MAN,Winter,Wool Blend,China
54,186681,End-cap,No,clothing,No,895,LIGHTWEIGHT PUFFER JACKET,29.0,USD,jackets,WOMAN,Autumn,Acrylic,Bangladesh
55,133183,Front of Store,No,clothing,Yes,785,COTTON BLEND BOMBER JACKET,29.95,USD,jackets,WOMAN,Autumn,Polyester,Vietnam
56,173508,Aisle,No,clothing,No,735,POCKET JACKET,19.99,USD,jackets,MAN,Autumn,Viscose,Turkey
